img_size,loss_func,resnet,val_auc,val_acc,test_auc,test_acc,ext_val_auc,ext_val_acc,attention,learning_rate
64,unweighted,ResNet18,0.9355102479582685,0.7577268195413759,0.9327934257453779,0.7615960099750624,0.6206407074793988,0.057081911262798636,False,
64,unweighted,ResNet50,0.9417497263500116,0.7786640079760718,0.9362120690139147,0.7745635910224439,0.6265304358396764,0.07892491467576791,False,
64,weighted,ResNet18,0.835563005629543,0.3469591226321037,0.8247931487786458,0.3516209476309227,0.6136214087774157,0.043003412969283276,False,
64,weighted,ResNet50,0.8949970546527375,0.5692921236291126,0.8965552019775591,0.572568578553616,0.6311613777118691,0.032252559726962456,False,
128,unweighted,ResNet18,0.9438685903451133,0.7976071784646062,0.9522201290823532,0.7865336658354115,0.6376905782670833,0.1098976109215017,False,
128,unweighted,ResNet50,0.8912351025527817,0.7088733798604188,0.8899609975824515,0.7007481296758105,0.5959902374223945,0.035409556313993173,False,
128,weighted,ResNet18,0.9266201379095006,0.7008973080757727,0.9258250425716827,0.6947630922693266,0.6165212787109265,0.04334470989761092,False,
128,weighted,ResNet50,0.8987763592710599,0.5633100697906281,0.890339117470974,0.5655860349127182,0.5778062996459783,0.09377133105802048,False,
64,unweighted,ResNet18,0.9395564498494078,0.7467597208374875,0.9383786741293818,0.7576059850374065,0.6332408804429112,0.11578498293515359,True,0.001
64,unweighted,ResNet18,0.945850073853617,0.7826520438683948,0.9421781002107796,0.7970074812967581,0.526202539417932,0.028242320819112626,True,0.0001
64,unweighted,ResNet50,0.8777597324477275,0.7228315054835494,0.8620294376149358,0.713216957605985,0.614223949155668,0.1,True,0.001
64,unweighted,ResNet50,0.956856293908351,0.8115653040877367,0.9554171479193677,0.8054862842892768,0.6000075023350124,0.024829351535836177,True,0.0001
64,weighted,ResNet18,0.9128149606402021,0.6580259222333001,0.9176831381132997,0.6598503740648379,0.6149534873099609,0.05725255972696246,True,0.001
64,weighted,ResNet18,0.9294456963019686,0.6699900299102692,0.9256392408407198,0.68428927680798,0.582364904503037,0.08907849829351536,True,0.0001
64,weighted,ResNet50,0.9080499719185688,0.613160518444666,0.9103264876762128,0.6264339152119701,0.5781815483205602,0.02235494880546075,True,0.001
64,weighted,ResNet50,0.9240006206391571,0.6630109670987039,0.9312950854794165,0.687780548628429,0.6157477299227428,0.09069965870307167,True,0.0001
128,unweighted,ResNet18,0.9380534048018949,0.7577268195413759,0.9404630818447078,0.7640897755610973,0.5855253000219521,0.11203071672354949,True,0.001
128,unweighted,ResNet18,0.9555316420191774,0.8195413758723828,0.9619169068117712,0.8314214463840399,0.6063210586278425,0.061092150170648465,True,0.0001
128,unweighted,ResNet50,0.9019444073553345,0.7208374875373879,0.8976432847889112,0.713216957605985,0.5276951980343991,0.013822525597269625,True,0.001
128,unweighted,ResNet50,0.9631197106284252,0.8315054835493519,0.9675184045435695,0.8314214463840399,0.6439945108309127,0.08293515358361775,True,0.0001
128,weighted,ResNet18,0.8831684653769549,0.5324027916251246,0.892871960810499,0.5471321695760598,0.5889335930194665,0.07354948805460751,True,0.001
128,weighted,ResNet18,0.9483987187005417,0.7298105682951147,0.9539548225452147,0.7471321695760599,0.6092029296667796,0.06868600682593856,True,0.0001
128,weighted,ResNet50,0.914095957386242,0.6570289132602194,0.9090610902972853,0.6533665835411472,0.6516274366788058,0.05059726962457338,True,0.001
128,weighted,ResNet50,0.9555207710867004,0.752741774675972,0.9566355631340929,0.7680798004987531,0.6049674416000344,0.03856655290102389,True,0.0001
